Valor NaN encontrado para defesaconstroi_normalized em Max O'Leary (2021-2022, Bristol City)
Valor NaN encontrado para defesaconstroi_normalized em Max O'Leary (2022-2023, Bristol City)
Valor NaN encontrado para defesaconstroi_normalized em Jonas Olsson (2018-2019, Wigan Athletic)
Valor NaN encontrado para defesaconstroi_normalized em Costel Pantilimon (2018-2019, Nott'ham Forest)
Valor NaN encontrado para defesaconstroi_normalized em Costel Pantilimon (2017-2018, La Coruña)
Valor NaN encontrado para defesaconstroi_normalized em Bailey Peacock-Farrell (2022-2023, Burnley)
Valor NaN encontrado para defesaconstroi_normalized em Bailey Peacock-Farrell (2020-2021, Burnley)
Valor NaN encontrado para defesaconstroi_normalized em Darren Randolph (2019-2020, Middlesbrough)
Valor NaN encontrado para defesaconstroi_normalized em Darren Randolph (2020-2021, West Ham)
Valor NaN encontrado para defesaconstroi_normalized em David Raya (2021-2022, Brentford)
Valor NaN encontrado para defesaconstroi_normalized em Kelle Roos (2020-2021, Derby County)
Valor NaN encontrado para defesaconstroi_normalized em Kelle Roos (2021-2022, Derby County)
Valor NaN encontrado para defesaconstroi_normalized em Richard Stearman (2018-2019, Sheffield Utd)
Valor NaN encontrado para defesaconstroi_normalized em Jed Steer (2018-2019, Aston Villa)
Valor NaN encontrado para defesaconstroi_normalized em Jed Steer (2021-2022, Luton Town)
Valor NaN encontrado para defesaconstroi_normalized em Sam Vokes (2018-2019, Burnley)
Valor NaN encontrado para defesaconstroi_normalized em Sam Walker (2018-2019, Reading)
Valor NaN encontrado para defesaconstroi_normalized em Christian Walton (2018-2019, Wigan Athletic)
Valor NaN encontrado para defesaconstroi_normalized em Grant Ward (2021-2022, Blackpool)
Valor NaN encontrado para defesaconstroi_normalized em Keiren Westwood (2021-2022, QPR)
Valor NaN encontrado para defesaconstroi_normalized em Marcus Bettinelli (2019-2020, Fulham)
Valor NaN encontrado para defesaconstroi_normalized em Marcus Bettinelli (2018-2019, Fulham)
Valor NaN encontrado para defesaconstroi_normalized em Rafael Cabral (2021-2022, Reading)
Valor NaN encontrado para defesaconstroi_normalized em Oliver Casey (2021-2022, Blackpool)
Valor NaN encontrado para defesaconstroi_normalized em Adam Davies (2022-2023, Sheffield Utd)
Valor NaN encontrado para defesaconstroi_normalized em Neil Etheridge (2019-2020, Cardiff City)
Valor NaN encontrado para defesaconstroi_normalized em Neil Etheridge (2022-2023, Birmingham City)
Valor NaN encontrado para defesaconstroi_normalized em Ben Hamer (2020-2021, Huddersfield)
Valor NaN encontrado para defesaconstroi_normalized em Keane Lewis-Potter (2022-2023, Brentford)
Valor NaN encontrado para defesaconstroi_normalized em Illan Meslier (2019-2020, Leeds United)
Valor NaN encontrado para defesaconstroi_normalized em Arijanet Muric (2019-2020, Nott'ham Forest)
Valor NaN encontrado para defesaconstroi_normalized em Aynsley Pears (2019-2020, Middlesbrough)
Valor NaN encontrado para defesaconstroi_normalized em Aynsley Pears (2020-2021, Blackburn)
Valor NaN encontrado para defesaconstroi_normalized em Aynsley Pears (2022-2023, Blackburn)
Valor NaN encontrado para defesaconstroi_normalized em Dillon Phillips (2020-2021, Cardiff City)
Valor NaN encontrado para defesaconstroi_normalized em George Pușcaș (2023-2024, Bari)
Valor NaN encontrado para defesaconstroi_normalized em Brice Samba (2019-2020, Nott'ham Forest)
Valor NaN encontrado para defesaconstroi_normalized em Brice Samba (2017-2018, Caen)
Valor NaN encontrado para defesaconstroi_normalized em Brice Samba (2023-2024, Lens)
Valor NaN encontrado para defesaconstroi_normalized em James Shea (2020-2021, Luton Town)
Valor NaN encontrado para defesaconstroi_normalized em Simon Sluga (2021-2022, Luton Town)
Valor NaN encontrado para defesaconstroi_normalized em Alex Smithies (2019-2020, Cardiff City)
Valor NaN encontrado para defesaconstroi_normalized em Alex Smithies (2020-2021, Cardiff City)
Valor NaN encontrado para defesaconstroi_normalized em Dejan Stojanović (2019-2020, Middlesbrough)
Valor NaN encontrado para defesaconstroi_normalized em Dejan Stojanović (2022-2023, Jahn R'burg)
Valor NaN encontrado para defesaconstroi_normalized em Jack Walton (2019-2020, Barnsley)
Valor NaN encontrado para defesaconstroi_normalized em Joe Wildsmith (2019-2020, Sheffield Weds)
Valor NaN encontrado para defesaconstroi_normalized em Joe Wildsmith (2020-2021, Sheffield Weds)
Valor NaN encontrado para defesaconstroi_normalized em Freddie Woodman (2021-2022, Newcastle Utd)
Valor NaN encontrado para defesaconstroi_normalized em Ryan Allsop (2020-2021, Wycombe)
Valor NaN encontrado para defesaconstroi_normalized em Ryan Allsop (2021-2022, Derby County)
Valor NaN encontrado para defesaconstroi_normalized em Ryan Allsop (2023-2024, Hull City)
Valor NaN encontrado para defesaconstroi_normalized em Daniel Bachmann (2020-2021, Watford)
Valor NaN encontrado para defesaconstroi_normalized em Daniel Bachmann (2021-2022, Watford)
Valor NaN encontrado para defesaconstroi_normalized em Amadou Bakayoko (2020-2021, Coventry City)
Valor NaN encontrado para defesaconstroi_normalized em Asmir Begović (2020-2021, Bournemouth)
Valor NaN encontrado para defesaconstroi_normalized em Asmir Begović (2021-2022, Everton)
Valor NaN encontrado para defesaconstroi_normalized em Brandon Cooper (2021-2022, Swansea City)
Valor NaN encontrado para defesaconstroi_normalized em Ben Foster (2020-2021, Watford)
